headword,headword_raw,translation
ძირაფა,Zirafa,discovery
ეულა,eula,originate from
გახარება,gaxareba,admiration
რიარია,ria-ria,turmoil
ჭითა,WiTa,clay
ეჸონაფა,eYonafa,to pick up
დოჸორო,doYoro,lanky
ეჸუნა,eYuna,to accompany
ეჸუნაფა,eYunafa,to persuade smb. to do smth. according to one's wish
ელაპონუა,elaponua,to lean smth. against smth
შაირიანი,Sairiani,"quarrelsome, short of temper"
ენწყუმა,enwyuma,to unfasten
შურიშ,SuriS,to give a musty smell
ოშხვართალაია,oSxvarTalaia,slim/slender and tall
ოშქვართალაია,oSqvarTalaia,slim/slender and tall
ეჩემება,eCemeba,to obsess about/over smb./smth
ლანდი,landi,ghost
აჩქარება,aCqareba,to hurry up
მეჩილითაფა,meCiliTafa,to miss
ეჩილითაფა,eCiliTafa,to avoid
ჭაჭუა,WaWua,to string
ეკვათუა,ekvaTua,to vaccinate
ჩილამურამი,Cilamurami,tearful
ერთუმა,erTuma,to come true
ეშახოხუა,eSaxoxua,to climb up
ეკინადოკინა,ekina-dokina,to lift up and down
ელანჭაფა,elanWafa,to reach
ეწონუა,ewonua,to weigh
ზიმუა,zimua,to measure
ახალგაზდა,axalgazda,young
ახალი,axali,new
ახალუხი,axaluxi,Georgian national gown
ახალწანა,axalwana,new year
ენჯამა,enjama,to open
არსულება,arsuleba,to come true
თოლიშ,ToliS,to open eyes
დაჩემება,daCemeba,to persist
ასე,ase,now
თურკოჩი,TurkoCi,close person
ხოლებერი,xoleberi,close person
ხოლოს,xolos,near
ახნარება,axnareba,to fill with sound
აჭვი,aWvi,patch of forest cut for a cornfield
გერგეზი,gergezi,portly
ენწყუმა,enwyuma,to unbind
მეგრული,megruli,inglisuri
მეგრელიან,Megrelian,English
საჩიარი,saCiari,to talk
ჯგარჯგალი,jgarjgali,to shiver
ბაბუ,babu,grandfather
ბადიდკონკა,badidkonka,dandelion
ბაგა,baga,manger
ლეჩქვი,leCqvi,lip
ბაგერი,bageri,"rope, cable"
ბადე,bade,net
ანტკა,antka,omentum
პატრიჟანი,patriJani,eggplant
ბაღანა,baRana,child
მაგრეშალი,magreSali,hawker
ბაიე,baie,"buttercup, gold-cup"
ბაკა,baka,shell of a tortoise/turtle
ბალავერი,balaveri,basement
ოდიარე,odiare,grass
დიარუა,diarua,to depasture
ბოდორია,bodoria,mallow
ბული,buli,cherry
ბაიში,baiSi,pillow
ბამბე,bambe,cotton
ბონუა,bonua,to wash
ბრანცალი,brancali,to reel
ჭარილი,Warili,letter
ბერექეთი,bereqeTi,abundance
ბარბალობა,barbaloba,St. Barbara's Day
ბანდალი,bandali,to stagger
დოფაშქაფა,dofaSqafa,is usually to fall heavily said about snow
ბარდონა,bardona,place covered with undergrowth
ბარუა,barua,to dig
ბორკი,borki,haunch
მართვე,marTve,"nestling, youngling"
განთხი,ganTxi,thigh
ბარზიმი,barzimi,chalice
კვათიერი,kvaTieri,sharp
ღორღონჯი,RorRonji,goose
ბატი,bati,goose
ოფაშკინაია,ofaSkinaia,popcorn
კირიბი,kiribi,lamb
პატონი,patoni,lord
პატონჭკორალა,patonWkorala,serfdom
ბეხია,bexia,boaster
კიდაჭი,kidaWi,bed bug
ბაღჩა,baRCa,"a small garden, where flowers or vegetables are planted"
გორდი,gordi,frog
გვერშაპი,gverSapi,giant
ღია,Ria,pale
მეგურაფა,megurafa,to imitate
ბაწარი,bawari,rope
ბგერა,bgera,sound
ბურხინი,burxini,to roar
ტვერი,tveri,"dusty whirlwind, dusty wind"
ბურდღონუა,burdRonua,fur off to rip
რჩინუ,rCinu,old
ბები,bebi,grandmother
მარულე,marule,pedigreed horse
ბედენა,bedena,what importance it has?!
ბედუა,bedua,to dare
ბედი,bedi,destiny
ბედინერობა,bedineroba,happiness
ბედინერი,bedineri,happy
ბრელი,breli,plenty
ქაცარი,qacari,lamb
მანჯღვერი,manjRveri,leader
შანა,Sana,a ring or another item of the jewellery given to a bride by a prospective
ბერტი,berti,clod
ბეტერია,beteria,silly
ბარაფი,barafi,to blow
ბარუა,barua,to inflate
ბერი,beri,monk
ბადიდი,badidi,old man
ჭყონდიდი,Wyondidi,old oak
ბაღუ,baRu,barn
ბაღირე,baRire,sparrow
ჸურუ,Yuru,short-sighted
ბუწუწი,buwuwi,fur
ართ,arT,"a bit, a little"
ბეშტუა,beStua,to type
აფხა,afxa,shoulder-blade
მარჯვე,marjve,diligent
ბზაკალი,bzakali,box-tree
რზია,rzia,crack
ბაჸი,baYi,chaff
ზიკინი,zikini,to lift/pull up
მარწუხია,marwuxia,wasp
რკიალი,rkiali,to shine
ბაიობა,baioba,Palm Sunday
დანდალაკი,dandalaki,top
დანდალი,dandali,to twirl
ზირზინი,zirzini,to buzz
ბირბილი,birbili,earlobe
შვარშვალი,SvarSvali,to wave
ბიბლია,biblia,the Bible
შარაშარა,Sara-Sara,path by path
ალაგე,alage,path
კუჩხილშარა,kuCxiISara,path
უწუნდური,uwunduri,obscene
უწუნდურობა,uwunduroba,obscenity
მახორუ,maxoru,"lodger, resident, inhabitant"
ხორუა,xorua,residence
აკოონჯუა,akoonjua,twilight
ბიცო,bico,aunt
ჯიმადი,jimadi,uncle
ბიძისკუალობა,biZiskualoba,relation with a cousin - a child of a parent's brother
ჯიკაფა,jikafa,to push
ჯიკაფი,jikafi,push
კილი,kili,vice
ბოში,boSi,boy
ბოშიანობა,boSianoba,birth of a son
ბოშოლია,boSolia,little boy
მასარი,masari,support
ბარჯგი,barjgi,support
ჯარგულია,jargulia,blunt
ლამბუა,lambua,to baste
ლამბი,lambi,basting
ზისქე,zisqe,viscous
ბლინი,blini,pancake
ბულობა,buloba,cherry harvest time
ბლომათ,blomaT,plenty
ბურდინა,burdina,stammerer
ბუჸინა,buYina,stammerer
ბუჸინი,buYini,to stutter
ბურდინი,burdini,to stammer
ზნე,zne,epilepsy
ზნეამი,zneami,epileptic
ბობოხია,boboxia,stormy
ბობოხუა,boboxua,to rage
ხოხუა,xoxua,to crawl
გლახაკი,glaxaki,very poor
ბოგილი,bogili,small wooden bridge
ბორდიშუა,bordiSua,to rave
ბოდიში,bodiSi,apology
ბოთური,boTuri,cub
ფურკუა,furkua,to smoke
გილულა,gilula,to walk up and down
კუმა,kuma,smoke
ფურკაფა,furkafa,to smoke
ბოლო,bolo,end
ბოქვი,boqvi,bulb
ბურსაფი,bursafi,about to toss
გაგაფი,gagafi,to roam
ხუნდი,xundi,cuffs
სუკი,suki,hill
ფარხალი,farxali,to stumble
ბარჩხალი,barCxali,Georgian symbol of the sun
აბურა,abura,cattle-shed
აგვარა,agvara,cattle-shed
ორტვინი,ortvini,kitchen-garden
ორტვინობა,ortvinoba,vegetables
ბეტარი,betari,bellwether
ბორქომი,borqomi,padlock
ღანჯი,Ranji,grief
ბოჸინუა,boYinua,to belch
გინი,gini,calf
მეზოჯინაფა,mezojinafa,to grant
ბურძღინაფა,burZRinafa,to become numb
ჭვიტუა,Wvitua,to twinkle
ბარდალი,bardali,to bumble
გურმულა,gurmula,anger
გურმულა,gurmula,to feel angry
გურამი,gurami,angry
ბრალობა,braloba,to accuse
ბრალი,brali,"guilt, accusation"
ბრალიშგემადვალარი,braliSgemadvalari,accuser
ბრახაბრუხი,braxabruxi,pounding
ბახაფი,baxafi,to pound
ვათანძარა,vaTanZara,crowd
ბარჯა,barja,stalwart
გვეგვე,gvegve,stalwart
ჟერჟელია,JerJelia,glaring
ჟერჟელი,JerJeli,to glare
ბურდღონუა,burdRonua,a hen to pluck
ღიროკუა,Rirokua,to warp
ბარბანჩია,barbanCia,sparkling
ბარბანჩი,barbanCi,to sparkle
ფარწალი,farwali,to flash his/her eyes flash fire
ბრილიანტი,brilianti,diamond
ბრინჯაო,brinjao,bronze
ბრინჯაოშფერი,brinjaoSferi,bronze
ბრინჯი,brinji,rice
ბეჸვერე,beYvere,fool
ბიჸვა,biYva,fool
ბიჸვინი,biYvini,foolish
ბერწული,berwuli,pomegranate
ლაპარტყია,lapartyia,flat
ლაპარტყიაპიჯამი,lapartyiapijami,pliers
რსიოლი,rsioli,to rotate
ელანი,elani,"squint-eyed, short-sighted"
ჸვერე,Yvere,"squint-eyed, short-sighted"
ზოჯუა,zojua,to say in a polite way
მენცარი,mencari,wise man
მენცარული,mencaruli,wise
ბურჯაფი,burjafi,to battle
